method,alpha,mean_mse,std_mse
Lasso,0.1,0.05299996392270498,0.0014768313060329226
Lasso,0.4,0.5710901771265522,0.04064077959608342
Lasso,0.7,4.861100718632754,0.23569300267872517
Lasso,1.0,9.38441610969785,0.3683835770712278
Glasso,0.1,0.6462119502774224,0.18380118592443478
Glasso,0.4,1.6173932607181387,0.09763275039744923
Glasso,0.7,2.4264520544779886,0.11834997445924578
Glasso,1.0,4.296846968665241,0.12448658192849571
OGlasso,0.1,0.32357674658661867,0.07633720334344081
OGlasso,0.4,0.8059708438696781,0.02707221030370166
OGlasso,0.7,1.7725697586730242,0.036537725127571696
OGlasso,1.0,3.0261957007849594,0.045763234369216255
SOGlasso,0.1,0.03078886302109349,0.006031182217484558
SOGlasso,0.4,0.1681116721653074,0.016805833723419095
SOGlasso,0.7,1.5572201860258192,0.15894122948761513
SOGlasso,1.0,3.3409214087433745,0.13475231095985718
